_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,antecedent,antecedent:confidence,orig_antecedent,antecedent_gold,option1,option2,option3,option4,option5
831005696,false,finalized,5,11/20/2015 19:04:03,pass,0.8161,It is first down and 10. The ball is on your 20 yardline. It is the first quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005697,false,finalized,5,11/19/2015 17:44:47,kick a field goal,0.5694,It is first down and 10. The ball is on your opponent's 40 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005698,false,finalized,5,11/19/2015 17:05:43,pass,0.8155,It is first down and 10. The ball is on your 45 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005699,false,finalized,5,11/19/2015 02:55:50,pass,0.3762,It is first down and 10. The ball is on your 20 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005700,false,finalized,5,11/18/2015 20:40:09,run,0.6208,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005701,false,finalized,5,11/19/2015 15:25:13,Don't know / it depends,0.7896,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005702,false,finalized,5,11/18/2015 21:10:34,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005703,false,finalized,5,11/20/2015 15:57:04,pass,0.7818,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005704,false,finalized,5,11/20/2015 13:10:53,pass,0.5973,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005705,false,finalized,5,11/20/2015 22:59:19,pass,0.561,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005706,false,finalized,5,11/20/2015 18:20:26,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005707,false,finalized,5,11/19/2015 10:54:28,pass,0.7881,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005708,false,finalized,5,11/21/2015 11:57:25,pass,0.5818,It is first down and 10. The ball is on your opponent's 20 yardline. There is 7 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005709,false,finalized,5,11/20/2015 12:05:32,pass,1.0,It is first down and 10. The ball is on your opponent's 40 yardline. There is 7 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005710,false,finalized,5,11/21/2015 12:42:50,pass,0.4219,It is first down and 10. The ball is on your 45 yardline. There is 7 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005711,false,finalized,5,11/18/2015 23:39:00,pass,0.598,It is first down and 10. The ball is on your 20 yardline. There is 7 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005712,false,finalized,5,11/20/2015 20:00:24,kick a field goal,1.0,It is first down and 10. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005713,false,finalized,5,11/20/2015 21:31:20,pass,0.6238,It is first down and 10. The ball is on your opponent's 40 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005714,false,finalized,5,11/21/2015 16:34:40,pass,0.8247,It is first down and 10. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005715,false,finalized,5,11/20/2015 16:01:55,pass,0.8031,It is first down and 10. The ball is on your 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005716,false,finalized,5,11/19/2015 19:16:59,run,0.6075,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005717,false,finalized,5,11/18/2015 21:52:34,pass,0.5825,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005718,false,finalized,5,11/19/2015 18:04:52,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005719,false,finalized,5,11/21/2015 03:46:08,pass,0.6038,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005720,false,finalized,5,11/21/2015 00:43:35,run,0.8214,It is first down and 10. The ball is on your opponent's 20 yardline. There is 7 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005721,false,finalized,5,11/21/2015 04:41:16,run,0.402,It is first down and 10. The ball is on your opponent's 40 yardline. There is 7 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005722,false,finalized,5,11/20/2015 20:15:43,pass,0.6095,It is first down and 10. The ball is on your 45 yardline. There is 7 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005723,false,finalized,5,11/21/2015 21:57:57,pass,0.8126,It is first down and 10. The ball is on your 20 yardline. There is 7 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005724,false,finalized,5,11/21/2015 00:06:47,Don't know / it depends,1.0, You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005725,false,finalized,5,11/20/2015 19:46:46,pass,0.5989,It is first down and 10. The ball is on your opponent's 20 yardline. It is the first quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005726,false,finalized,5,11/20/2015 23:32:30,run,0.4241,It is first down and 10. The ball is on your opponent's 40 yardline. It is the first quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005727,false,finalized,5,11/20/2015 22:10:48,run,0.4029,It is first down and 10. The ball is on your 45 yardline. It is the first quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005728,false,finalized,5,11/21/2015 16:07:38,pass,0.5866,It is first down and 10. The ball is on your 20 yardline. It is the first quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005729,false,finalized,5,11/18/2015 22:07:42,kick a field goal,1.0,It is first down and 10. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005730,false,finalized,5,11/20/2015 19:04:03,kick a field goal,0.5984,It is first down and 10. The ball is on your opponent's 40 yardline. There is 3 seconds left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005731,false,finalized,5,11/21/2015 00:08:56,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 3 seconds left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005732,false,finalized,5,11/20/2015 13:42:33,pass,0.622,It is first down and 10. The ball is on your 20 yardline. There is 3 seconds left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005733,false,finalized,5,11/19/2015 19:32:13,pass,0.8033,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005734,false,finalized,5,11/19/2015 02:38:25,pass,0.6095,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005735,false,finalized,5,11/21/2015 00:08:56,pass,0.6041,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005736,false,finalized,5,11/18/2015 22:12:13,pass,0.8013,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005737,false,finalized,5,11/21/2015 17:21:43,pass,0.6088,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the third quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005738,false,finalized,5,11/21/2015 14:38:31,pass,0.8028,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the third quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005739,false,finalized,5,11/20/2015 09:22:24,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the third quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005740,false,finalized,5,11/19/2015 00:13:05,pass,0.598,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the third quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005741,false,finalized,5,11/20/2015 13:42:33,pass,1.0,It is first down and 10. The ball is on your opponent's 20 yardline. There is 7 minutes left in the third quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005742,false,finalized,5,11/20/2015 19:21:10,pass,1.0,It is first down and 10. The ball is on your opponent's 40 yardline. There is 7 minutes left in the third quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005743,false,finalized,5,11/19/2015 02:18:06,pass,0.8,It is first down and 10. The ball is on your 45 yardline. There is 7 minutes left in the third quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005744,false,finalized,5,11/21/2015 10:49:15,pass,0.7902,It is first down and 10. The ball is on your 20 yardline. There is 7 minutes left in the third quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005745,false,finalized,5,11/21/2015 14:31:53,pass,1.0,It is first down and 10. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005746,false,finalized,5,11/19/2015 19:00:53,pass,1.0,It is first down and 10. The ball is on your opponent's 40 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005747,false,finalized,5,11/20/2015 19:59:59,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005748,false,finalized,5,11/19/2015 15:11:14,pass,1.0,It is first down and 10. The ball is on your 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005749,false,finalized,5,11/18/2015 21:56:32,pass,1.0,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005750,false,finalized,5,11/19/2015 02:01:33,pass,0.8019,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005751,false,finalized,5,11/21/2015 18:26:50,pass,0.8086,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005752,false,finalized,5,11/21/2015 14:55:51,pass,1.0,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005753,false,finalized,5,11/20/2015 23:32:30,run,0.6142,It is first down and 10. The ball is on your opponent's 20 yardline. There is 7 minutes left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005754,false,finalized,5,11/20/2015 15:59:17,pass,0.8251,It is first down and 10. The ball is on your opponent's 40 yardline. There is 7 minutes left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005755,false,finalized,5,11/20/2015 21:32:00,run,0.6471,It is first down and 10. The ball is on your 45 yardline. There is 7 minutes left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005756,false,finalized,5,11/20/2015 12:10:21,pass,0.798,It is first down and 10. The ball is on your 20 yardline. There is 7 minutes left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005757,false,finalized,5,11/21/2015 09:10:14,Don't know / it depends,1.0, You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005758,false,finalized,5,11/19/2015 10:06:35,pass,1.0,It is first down and 10. The ball is on your opponent's 20 yardline. It is the first quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005759,false,finalized,5,11/19/2015 10:26:47,run,0.3929,It is first down and 10. The ball is on your opponent's 40 yardline. It is the first quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005760,false,finalized,5,11/21/2015 00:43:35,run,0.6161,It is first down and 10. The ball is on your 45 yardline. It is the first quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005761,false,finalized,5,11/20/2015 13:52:29,run,0.6117,It is first down and 10. The ball is on your 20 yardline. It is the first quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005762,false,finalized,5,11/20/2015 18:39:21,pass,0.6126,It is first down and 10. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005763,false,finalized,5,11/19/2015 01:37:06,kick a field goal,0.617,It is first down and 10. The ball is on your opponent's 40 yardline. There is 3 seconds left in the second quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005764,false,finalized,5,11/18/2015 22:06:18,pass,0.7939,It is first down and 10. The ball is on your 45 yardline. There is 3 seconds left in the second quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005765,false,finalized,5,11/21/2015 19:44:13,pass,0.6081,It is first down and 10. The ball is on your 20 yardline. There is 3 seconds left in the second quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005766,false,finalized,5,11/20/2015 20:00:24,pass,0.8062,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the second quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005767,false,finalized,5,11/21/2015 11:19:34,pass,0.5684,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the second quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005768,false,finalized,5,11/21/2015 03:50:02,pass,0.7905,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the second quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005769,false,finalized,5,11/21/2015 03:56:10,pass,0.7885,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the second quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005770,false,finalized,5,11/20/2015 21:20:21,run,0.8111,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the third quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005771,false,finalized,5,11/19/2015 16:11:52,pass,0.4175,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the third quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005772,false,finalized,5,11/21/2015 16:56:13,pass,0.8203,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the third quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005773,false,finalized,5,11/19/2015 06:05:25,run,0.4073,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the third quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005774,false,finalized,5,11/20/2015 21:16:12,run,0.7894,It is first down and 10. The ball is on your opponent's 20 yardline. There is 7 minutes left in the third quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005775,false,finalized,5,11/20/2015 22:10:48,pass,0.8104,It is first down and 10. The ball is on your opponent's 40 yardline. There is 7 minutes left in the third quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005776,false,finalized,5,11/21/2015 08:04:24,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 7 minutes left in the third quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005777,false,finalized,5,11/21/2015 00:12:58,pass,0.6289,It is first down and 10. The ball is on your 20 yardline. There is 7 minutes left in the third quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005778,false,finalized,5,11/19/2015 17:56:51,pass,1.0,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the fourth quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005779,false,finalized,5,11/20/2015 12:51:33,pass,1.0,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the fourth quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005780,false,finalized,5,11/20/2015 20:35:45,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the fourth quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005781,false,finalized,5,11/19/2015 04:33:06,pass,0.6156,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the fourth quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005782,false,finalized,5,11/19/2015 17:44:47,pass,0.6068,It is first down and 10. The ball is on your opponent's 20 yardline. There is 7 minutes left in the fourth quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005783,false,finalized,5,11/19/2015 17:44:47,pass,0.8221,It is first down and 10. The ball is on your opponent's 40 yardline. There is 7 minutes left in the fourth quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005784,false,finalized,5,11/19/2015 10:47:23,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 7 minutes left in the fourth quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005785,false,finalized,5,11/21/2015 08:01:50,pass,0.809,It is first down and 10. The ball is on your 20 yardline. There is 7 minutes left in the fourth quarter. You are down by 10 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005786,false,finalized,5,11/20/2015 18:44:45,Don't know / it depends,0.8031, You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005787,false,finalized,5,11/20/2015 21:14:41,pass,0.593,It is first down and 10. The ball is on your opponent's 20 yardline. It is the first quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005788,false,finalized,5,11/20/2015 14:55:27,pass,0.6055,It is first down and 10. The ball is on your opponent's 40 yardline. It is the first quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005789,false,finalized,5,11/21/2015 19:27:42,run,0.6106,It is first down and 10. The ball is on your 45 yardline. It is the first quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005790,false,finalized,5,11/21/2015 00:15:24,run,0.4071,It is first down and 10. The ball is on your 20 yardline. It is the first quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005791,false,finalized,5,11/19/2015 18:54:42,kick a field goal,0.7909,It is first down and 10. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005792,false,finalized,5,11/19/2015 04:07:21,pass,0.8081,It is first down and 10. The ball is on your opponent's 40 yardline. There is 3 seconds left in the second quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005793,false,finalized,5,11/21/2015 02:42:39,pass,0.8313,It is first down and 10. The ball is on your 45 yardline. There is 3 seconds left in the second quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005794,false,finalized,5,11/20/2015 13:30:49,pass,0.6189,It is first down and 10. The ball is on your 20 yardline. There is 3 seconds left in the second quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005795,false,finalized,5,11/21/2015 10:49:15,pass,1.0,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the second quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005796,false,finalized,5,11/20/2015 20:45:19,pass,1.0,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the second quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005797,false,finalized,5,11/21/2015 17:10:37,pass,1.0,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the second quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005798,false,finalized,5,11/19/2015 10:30:25,pass,1.0,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the second quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005799,false,finalized,5,11/20/2015 19:10:50,pass,0.5959,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the third quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005800,false,finalized,5,11/20/2015 19:04:03,pass,1.0,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the third quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005801,false,finalized,5,11/21/2015 16:09:22,pass,0.8121,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the third quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005802,false,finalized,5,11/21/2015 18:15:00,run,0.4168,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the third quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005803,false,finalized,5,11/18/2015 21:25:13,pass,0.7887,It is first down and 10. The ball is on your opponent's 20 yardline. There is 7 minutes left in the third quarter. You are down by 20 points. Would you:,, punt, kick a field goal, run, pass, kneel down
